education,income,women,prestige,census
13.11,12351,11.16,68.8,1113
12.26,25879,4.02,69.1,1130
12.77,9271,15.7,63.4,1171
11.42,8865,9.11,56.8,1175
14.62,8403,11.68,73.5,2111
15.64,11030,5.13,77.6,2113
15.09,8258,25.65,72.6,2133
15.44,14163,2.69,78.1,2141
14.52,11377,1.03,73.1,2143
14.64,11023,0.94,68.8,2153
12.39,5902,1.91,62,2161
12.3,7059,7.83,60,2163
13.83,8425,15.33,53.8,2183
14.44,8049,57.31,62.2,2311
14.36,7405,48.28,74.9,2315
14.21,6336,54.77,55.1,2331
15.77,19263,5.13,82.3,2343
14.15,6112,77.1,58.1,2351
15.22,9593,34.89,58.3,2391
14.5,4686,4.14,72.8,2511
15.97,12480,19.59,84.6,2711
13.62,5648,83.78,59.6,2731
15.08,8034,46.8,66.1,2733
15.96,25308,10.56,87.2,3111
15.94,14558,4.32,66.7,3115
14.71,17498,6.91,68.4,3117
12.46,4614,96.12,64.7,3131
9.45,3485,76.14,34.9,3135
13.62,5092,82.66,72.1,3137
15.21,10432,24.71,69.3,3151
12.79,5180,76.04,67.5,3156
11.09,6197,21.03,57.2,3314
12.71,7562,11.15,57.6,3337
11.44,8206,8.13,54.1,3373
11.59,4036,97.51,46,4111
11.49,3148,95.97,41.9,4113
11.32,4348,68.24,49.4,4131
10.64,2448,91.76,42.3,4133
11.36,4330,75.92,47.7,4143
9.17,4761,11.37,30.9,4153
12.09,3016,83.19,32.7,4161
11.04,2901,92.86,38.7,4171
9.22,5511,7.62,36.1,4172
10.07,3739,52.27,37.2,4173
10.51,3161,96.14,38.1,4175
11.2,4741,47.06,29.4,4191
11.13,5052,56.1,51.1,4192
11.43,6259,39.17,35.7,4193
11,4075,63.23,35.6,4197
9.84,7482,17.04,41.5,5130
11.13,8780,3.16,40.2,5133
10.05,2594,67.82,26.5,5137
9.62,918,7,14.8,5143
9.93,2370,3.69,23.3,5145
11.6,8131,13.09,47.3,5171
11.09,6992,24.44,47.1,5172
11.03,7956,23.88,51.1,5191
9.47,8895,0,43.5,6111
10.93,8891,1.65,51.6,6112
7.74,3116,52,29.7,6121
8.5,3930,15.51,20.2,6123
10.57,7869,6.01,54.9,6141
9.46,611,96.53,25.9,6147
7.33,3000,69.31,20.8,6162
7.11,3472,33.57,17.3,6191
7.58,3582,30.08,20.1,6193
6.84,3643,3.6,44.1,7112
8.6,1656,27.75,21.5,7182
8.88,6860,0,35.3,7711
7.54,4199,33.3,38.9,8213
7.64,5134,17.26,25.2,8215
7.64,5134,17.26,34.8,8215
7.42,1890,72.24,23.2,8221
6.69,4443,31.36,33.3,8267
6.74,3485,39.48,28.8,8278
10.09,8043,1.5,42.5,8311
8.81,6686,4.28,44.2,8313
8.4,6565,2.3,35.9,8333
7.92,6477,5.17,41.8,8335
8.43,5811,13.62,35.9,8513
8.78,6573,5.78,43.7,8515
8.76,3942,74.54,50.8,8534
10.29,5449,2.92,37.2,8537
6.38,2847,90.67,28.2,8563
8.1,5795,0.81,38.1,8581
10.1,7716,0.78,50.3,8582
6.67,4696,0,27.3,8715
9.05,8316,1.34,40.9,8731
9.93,7147,0.99,50.2,8733
8.24,8880,0.65,51.1,8780
6.92,5299,0.56,38.9,8781
6.6,5959,0.52,36.2,8782
7.81,4549,2.46,29.9,8785
8.33,6928,0.61,42.9,8791
7.52,3910,1.09,26.5,8798
12.27,14032,0.58,66.1,9111
8.49,8845,0,48.9,9131
7.58,5562,9.47,35.9,9171
7.93,4224,3.59,25.1,9173
8.37,4753,0,26.1,9313
10,6462,13.58,42.2,9511
8.55,3617,70.87,35.2,9517
